"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2020","1,370.70","1,329.96","1,371.00","1,326.13","26.74B","2.99%"
"Nov 29, 2020","1,330.87","1,314.43","1,338.95","1,283.58","25.34B","0.16%"
"Nov 22, 2020","1,328.73","1,329.29","1,351.65","1,299.27","28.27B","0.36%"
"Nov 15, 2020","1,323.95","1,304.70","1,328.33","1,259.69","29.48B","2.53%"
"Nov 08, 2020","1,291.29","1,214.42","1,303.81","1,211.16","34.00B","8.33%"
"Nov 01, 2020","1,191.96","1,119.72","1,192.24","1,117.68","24.36B","7.15%"
"Oct 25, 2020","1,112.37","1,183.61","1,183.61","1,095.72","19.86B","-6.57%"
"Oct 18, 2020","1,190.63","1,195.46","1,222.95","1,179.46","22.70B","-0.18%"
"Oct 11, 2020","1,192.73","1,169.16","1,193.83","1,169.12","22.38B","2.32%"
"Oct 04, 2020","1,165.70","1,150.79","1,170.48","1,143.33","16.33B","1.81%"
"Sep 27, 2020","1,145.03","1,124.68","1,155.38","1,112.39","18.41B","1.86%"
"Sep 20, 2020","1,124.17","1,111.82","1,135.07","1,084.93","17.27B","1.10%"
"Sep 13, 2020","1,111.96","1,105.31","1,118.70","1,096.65","14.01B","0.84%"
"Sep 06, 2020","1,102.70","1,089.54","1,105.98","1,085.23","14.93B","1.51%"
"Aug 30, 2020","1,086.32","1,101.78","1,102.38","1,064.42","13.27B","-1.29%"
"Aug 23, 2020","1,100.55","1,111.21","1,118.24","1,083.14","15.20B","-0.84%"
"Aug 16, 2020","1,109.88","1,085.52","1,141.32","1,077.29","19.29B","2.40%"
"Aug 09, 2020","1,083.83","1,055.58","1,125.92","1,039.00","20.13B","2.19%"
"Aug 02, 2020","1,060.59","1,140.39","1,143.26","985.38","19.98B","-5.88%"
"Jul 26, 2020","1,126.90","1,199.57","1,203.42","1,120.96","12.57B","-5.46%"
"Jul 19, 2020","1,192.02","1,188.44","1,205.86","1,171.60","20.12B","0.35%"
"Jul 12, 2020","1,187.86","1,162.62","1,194.51","1,161.26","16.32B","3.46%"
"Jul 05, 2020","1,148.09","1,166.74","1,202.03","1,128.29","28.42B","-0.81%"
"Jun 28, 2020","1,157.48","1,147.76","1,173.91","1,144.32","23.33B","0.94%"
"Jun 21, 2020","1,146.68","1,147.01","1,162.79","1,134.20","19.99B","0.93%"
"Jun 14, 2020","1,136.12","1,093.93","1,143.38","1,087.16","18.86B","3.44%"
"Jun 07, 2020","1,098.35","1,103.32","1,110.43","1,078.33","15.20B","-0.17%"
"May 31, 2020","1,100.22","1,064.81","1,106.02","1,063.57","13.70B","4.27%"
"May 24, 2020","1,055.20","1,037.98","1,062.92","1,037.98","8.09B","2.42%"
"May 17, 2020","1,030.24","1,008.97","1,033.07","1,008.97","8.12B","3.26%"
"May 10, 2020","997.68","984.20","1,008.65","977.40","11.23B","1.97%"
"May 03, 2020","978.45","1,002.54","1,002.54","976.72","11.01B","-3.23%"
"Apr 26, 2020","1,011.10","1,000.86","1,023.28","993.60","9.50B","2.38%"
"Apr 19, 2020","987.59","986.62","994.97","972.76","8.98B","0.59%"
"Apr 12, 2020","981.80","954.63","990.44","946.02","11.26B","1.77%"
"Apr 05, 2020","964.71","909.89","974.83","906.31","11.38B","7.73%"
"Mar 29, 2020","895.53","879.37","904.09","868.15","9.84B","1.62%"
"Mar 22, 2020","881.25","830.44","922.99","825.28","10.86B","2.71%"
"Mar 15, 2020","857.96","922.64","922.64","819.36","8.51B","-10.26%"
"Mar 08, 2020","956.05","1,065.40","1,068.57","916.44","9.26B","-12.77%"
"Mar 01, 2020","1,096.01","1,083.79","1,131.07","1,064.25","8.79B","3.40%"
"Feb 23, 2020","1,059.94","1,149.84","1,159.92","993.32","11.09B","-9.27%"
"Feb 16, 2020","1,168.29","1,209.82","1,212.42","1,144.53","12.45B","-2.76%"
"Feb 09, 2020","1,201.51","1,204.59","1,215.81","1,166.48","13.00B","-0.71%"
"Feb 02, 2020","1,210.15","1,194.37","1,238.45","1,187.62","12.36B","1.57%"
"Jan 26, 2020","1,191.40","1,207.12","1,216.74","1,182.56","11.71B","-2.46%"
"Jan 19, 2020","1,221.42","1,218.79","1,245.37","1,207.61","12.22B","0.55%"
"Jan 12, 2020","1,214.75","1,195.95","1,224.82","1,195.75","14.13B","2.37%"
"Jan 05, 2020","1,186.64","1,125.32","1,191.40","1,107.46","12.86B","4.38%"
"Dec 29, 2019","1,136.84","1,140.57","1,159.32","1,126.17","10.21B","0.00%"
"Dec 22, 2019","1,136.84","1,114.79","1,145.35","1,112.66","12.25B","2.25%"
"Dec 15, 2019","1,111.77","1,106.74","1,119.56","1,101.06","10.90B","0.63%"
"Dec 08, 2019","1,104.77","1,088.96","1,119.10","1,074.65","10.62B","1.48%"
