Tarih;Şimdi;Açılış;Yüksek;Düşük;Hac.;Fark %;Şirket
02.08.2020;96,50;110,00;113,00;83,85;2,42M;-10,65%;TTRAK
26.07.2020;108,00;101,00;113,00;99,50;2,30M;7,04%;TTRAK
19.07.2020;100,90;102,20;102,20;94,35;1,56M;0,80%;TTRAK
12.07.2020;100,10;91,35;104,30;89,65;1,72M;11,66%;TTRAK
05.07.2020;89,65;83,15;93,40;83,15;2,76M;9,33%;TTRAK
28.06.2020;82,00;78,80;83,80;77,15;1,76M;4,46%;TTRAK
21.06.2020;78,50;69,65;80,60;69,00;2,59M;13,03%;TTRAK
14.06.2020;69,45;68,80;72,40;66,90;1,90M;0,65%;TTRAK
07.06.2020;69,00;64,10;69,90;63,75;3,16M;8,32%;TTRAK
31.05.2020;63,70;61,50;64,40;61,40;1,34M;4,26%;TTRAK
24.05.2020;61,10;61,00;62,45;60,65;650,34K;0,33%;TTRAK
17.05.2020;60,90;63,00;63,20;60,70;921,79K;-1,62%;TTRAK
10.05.2020;61,90;56,50;64,40;55,95;1,76M;10,04%;TTRAK
03.05.2020;56,25;56,00;57,70;53,30;1,60M;-1,57%;TTRAK
26.04.2020;57,15;58,00;59,20;55,10;2,01M;4,96%;TTRAK
19.04.2020;54,45;50,65;56,20;50,40;1,11M;8,14%;TTRAK
12.04.2020;50,35;47,80;52,20;47,24;839,20K;4,90%;TTRAK
05.04.2020;48,00;43,00;49,68;42,74;1,08M;14,29%;TTRAK
29.03.2020;42,00;39,56;44,30;38,46;659,87K;6,17%;TTRAK
22.03.2020;39,56;38,02;42,00;37,40;606,17K;-2,08%;TTRAK
15.03.2020;40,40;44,89;44,89;38,68;418,57K;-16,70%;TTRAK
08.03.2020;48,50;57,95;57,95;45,20;998,26K;-17,80%;TTRAK
01.03.2020;59,00;60,10;62,10;58,00;497,12K;-0,51%;TTRAK
23.02.2020;59,30;61,00;63,80;55,55;715,20K;-3,42%;TTRAK
16.02.2020;61,40;60,25;62,40;58,55;959,77K;2,33%;TTRAK
09.02.2020;60,00;62,40;62,95;57,20;1,00M;-4,08%;TTRAK
02.02.2020;62,55;60,00;63,30;59,25;740,86K;3,73%;TTRAK
26.01.2020;60,30;57,90;61,50;56,60;778,32K;3,08%;TTRAK
19.01.2020;58,50;59,35;60,10;57,00;546,56K;-1,10%;TTRAK
12.01.2020;59,15;59,20;60,35;56,90;646,38K;0,25%;TTRAK
05.01.2020;59,00;53,00;59,50;51,60;1,07M;8,66%;TTRAK
29.12.2019;54,30;54,75;56,80;51,90;519,05K;-0,55%;TTRAK
22.12.2019;54,60;50,50;54,85;50,45;678,90K;7,91%;TTRAK
15.12.2019;50,60;51,05;51,65;50,10;446,96K;-0,88%;TTRAK
06.12.2020;21,94;22,02;22,40;21,42;3,42M;-0,27%;ULKER
29.11.2020;22,00;22,34;22,86;22,00;16,77M;-1,17%;ULKER
22.11.2020;22,26;23,04;23,44;22,02;20,08M;-1,07%;ULKER
15.11.2020;22,50;22,20;22,70;21,74;17,52M;3,12%;ULKER
08.11.2020;21,82;21,90;22,72;21,62;18,62M;0,83%;ULKER
01.11.2020;21,64;20,40;22,14;20,14;14,71M;7,02%;ULKER
25.10.2020;20,22;23,36;23,36;19,98;7,81M;-13,81%;ULKER
18.10.2020;23,46;24,60;25,04;23,34;8,29M;-4,24%;ULKER
11.10.2020;24,50;23,84;25,00;23,66;8,12M;4,17%;ULKER
04.10.2020;23,52;23,48;24,42;23,30;9,52M;1,38%;ULKER
27.09.2020;23,20;22,76;23,64;22,30;9,46M;1,40%;ULKER
20.09.2020;22,88;22,72;23,24;22,28;7,39M;0,88%;ULKER
13.09.2020;22,68;22,42;23,10;22,26;6,85M;1,25%;ULKER
06.09.2020;22,40;22,20;23,00;22,06;7,18M;1,36%;ULKER
30.08.2020;22,10;23,16;23,34;21,88;9,24M;-4,58%;ULKER
23.08.2020;23,16;22,96;23,42;22,52;10,27M;1,58%;ULKER
16.08.2020;22,80;22,42;23,40;21,90;13,93M;1,60%;ULKER
09.08.2020;22,44;22,10;24,16;21,48;19,96M;1,54%;ULKER
02.08.2020;22,10;26,40;26,90;20,00;18,79M;-15,20%;ULKER
26.07.2020;26,06;26,80;27,74;25,50;8,21M;-1,96%;ULKER
19.07.2020;26,58;26,78;27,22;25,92;7,72M;-0,30%;ULKER
12.07.2020;26,66;25,58;27,54;25,54;10,18M;5,21%;ULKER
05.07.2020;25,34;24,92;26,94;24,72;21,09M;2,26%;ULKER
28.06.2020;24,78;24,08;24,88;23,72;11,62M;3,16%;ULKER
21.06.2020;24,02;25,04;25,24;23,54;7,65M;-3,77%;ULKER
14.06.2020;24,96;23,50;26,00;23,44;15,31M;6,30%;ULKER
07.06.2020;23,48;23,48;23,76;22,90;6,77M;1,21%;ULKER
31.05.2020;23,20;23,86;24,10;23,02;5,75M;-1,69%;ULKER
24.05.2020;23,60;23,80;24,50;23,60;5,98M;-0,25%;ULKER
17.05.2020;23,66;23,56;24,48;23,30;7,85M;1,98%;ULKER
10.05.2020;23,20;22,48;23,64;22,22;6,90M;3,48%;ULKER
03.05.2020;22,42;23,30;24,08;21,80;11,14M;-5,40%;ULKER
26.04.2020;23,70;24,48;25,00;23,02;10,97M;-2,07%;ULKER
19.04.2020;24,20;23,00;25,16;22,20;15,50M;6,14%;ULKER
12.04.2020;22,80;20,96;24,40;20,76;8,68M;8,16%;ULKER
05.04.2020;21,08;20,78;21,68;20,54;3,99M;3,33%;ULKER
29.03.2020;20,40;19,30;20,66;19,00;5,02M;5,70%;ULKER
22.03.2020;19,30;18,95;20,46;18,78;7,61M;1,26%;ULKER
15.03.2020;19,06;20,24;20,26;16,38;4,90M;-4,89%;ULKER
08.03.2020;20,04;22,00;22,48;18,56;10,18M;-12,87%;ULKER
01.03.2020;23,00;20,84;23,00;20,56;7,78M;12,30%;ULKER
23.02.2020;20,48;22,00;22,82;19,00;5,52M;-8,57%;ULKER
16.02.2020;22,40;23,56;23,76;21,96;4,06M;-4,52%;ULKER
09.02.2020;23,46;23,96;24,20;22,54;3,97M;-1,92%;ULKER
02.02.2020;23,92;23,22;24,46;23,20;5,17M;2,49%;ULKER
26.01.2020;23,34;24,84;25,16;23,26;3,94M;-6,64%;ULKER
19.01.2020;25,00;24,84;25,56;24,74;3,62M;1,21%;ULKER
12.01.2020;24,70;25,00;25,26;24,52;5,03M;-0,96%;ULKER
05.01.2020;24,94;22,40;25,08;21,90;5,71M;10,16%;ULKER
29.12.2019;22,64;23,26;23,48;22,30;3,16M;-2,41%;ULKER
22.12.2019;23,20;22,72;23,86;22,52;4,04M;5,94%;ULKER
15.12.2019;21,90;21,72;22,32;21,42;3,18M;0,92%;ULKER
06.12.2020;21,900;20,220;22,200;20,020;9,26M;7,67%;VESTL
29.11.2020;20,340;20,400;20,960;19,920;20,50M;-1,64%;VESTL
22.11.2020;20,680;20,100;21,200;19,610;29,34M;3,40%;VESTL
15.11.2020;20,000;20,600;20,760;19,110;26,80M;-0,30%;VESTL
08.11.2020;20,060;19,290;21,140;19,190;50,02M;4,53%;VESTL
01.11.2020;19,190;16,600;19,240;16,360;27,99M;15,81%;VESTL
25.10.2020;16,570;18,200;18,520;16,160;20,30M;-8,86%;VESTL
18.10.2020;18,180;18,470;18,790;18,000;25,54M;-0,98%;VESTL
11.10.2020;18,360;17,580;18,970;17,570;33,35M;5,09%;VESTL
04.10.2020;17,470;17,260;17,750;17,200;27,45M;1,93%;VESTL
27.09.2020;17,140;16,780;17,640;16,600;21,15M;2,27%;VESTL
20.09.2020;16,760;17,470;17,500;16,730;12,71M;-3,84%;VESTL
13.09.2020;17,430;17,550;17,640;16,790;14,61M;-0,40%;VESTL
06.09.2020;17,500;18,300;18,460;17,200;15,60M;-4,37%;VESTL
30.08.2020;18,300;17,950;19,120;17,850;28,25M;1,89%;VESTL
23.08.2020;17,960;17,000;18,270;16,190;25,88M;5,52%;VESTL
16.08.2020;17,020;15,940;17,840;15,700;31,35M;5,71%;VESTL
09.08.2020;16,100;15,730;17,200;15,280;10,44M;2,35%;VESTL
02.08.2020;15,730;17,800;17,950;13,680;13,57M;-10,22%;VESTL
26.07.2020;17,520;18,050;18,340;17,200;21,03M;-2,61%;VESTL
19.07.2020;17,990;17,490;18,020;17,030;29,98M;2,68%;VESTL
12.07.2020;17,520;16,580;18,330;16,580;62,29M;7,09%;VESTL
05.07.2020;16,360;16,500;17,020;15,740;36,16M;-0,18%;VESTL
28.06.2020;16,390;16,150;16,670;16,040;18,92M;1,49%;VESTL
21.06.2020;16,150;16,360;17,000;15,960;24,04M;-0,68%;VESTL
14.06.2020;16,260;14,970;17,320;14,770;48,69M;7,68%;VESTL
07.06.2020;15,100;13,680;15,260;13,590;62,73M;10,62%;VESTL
31.05.2020;13,650;14,250;14,390;13,540;28,66M;-3,67%;VESTL
24.05.2020;14,170;13,760;14,280;13,520;22,12M;4,04%;VESTL
17.05.2020;13,620;13,240;14,120;13,200;39,49M;3,89%;VESTL
10.05.2020;13,110;12,780;13,410;12,460;45,12M;2,66%;VESTL
03.05.2020;12,770;13,000;13,650;12,720;36,74M;-3,40%;VESTL
26.04.2020;13,220;11,800;13,560;11,780;45,93M;13,18%;VESTL
19.04.2020;11,680;11,330;12,040;11,190;23,91M;3,36%;VESTL
12.04.2020;11,300;10,650;11,830;10,500;39,20M;2,73%;VESTL
05.04.2020;11,000;10,500;11,200;10,380;37,14M;7,84%;VESTL
29.03.2020;10,200;10,150;10,850;10,020;17,74M;0,99%;VESTL
22.03.2020;10,100;8,980;10,940;8,940;39,76M;5,98%;VESTL
15.03.2020;9,530;9,800;10,060;8,380;24,32M;-3,74%;VESTL
08.03.2020;9,900;12,880;12,940;8,550;16,87M;-25,11%;VESTL
01.03.2020;13,220;14,640;15,150;13,090;20,49M;-5,57%;VESTL
23.02.2020;14,000;16,050;16,640;13,020;20,53M;-14,63%;VESTL
16.02.2020;16,400;17,250;17,680;15,550;29,10M;-3,02%;VESTL
09.02.2020;16,910;15,730;17,840;15,000;57,25M;7,23%;VESTL
02.02.2020;15,770;14,000;17,160;13,910;70,29M;13,37%;VESTL
26.01.2020;13,910;14,150;14,320;13,550;12,64M;-1,97%;VESTL
19.01.2020;14,190;14,400;14,730;14,150;16,21M;-1,18%;VESTL
12.01.2020;14,360;14,240;15,110;14,030;30,13M;1,48%;VESTL
05.01.2020;14,150;13,140;14,540;13,000;44,23M;6,63%;VESTL
29.12.2019;13,270;13,120;13,320;12,600;26,61M;1,53%;VESTL
22.12.2019;13,070;13,460;14,510;13,050;69,21M;-2,10%;VESTL
15.12.2019;13,350;12,830;13,670;12,760;61,01M;4,30%;VESTL
